stemID,species,dbh.cm,xdist,ydist,Jenkins_type
272,TSHE,78.8,314.65,281.49,tf
273,TSHE,13.1,312.89,285,tf
274,TSHE,58.3,307.44,292.31,tf
275,THPL,7.7,306.01,295.99,cl
277,TSHE,39.7,316.15,288.47,tf
279,TSHE,35.4,311.54,298.85,tf
280,TSHE,58.2,315.86,292.49,tf
281,TABR,8.4,313.38,298.87,tf
283,PSME,144.1,317.09,297.7,pm
284,TSHE,9.7,319.07,292.5,tf
286,TSHE,34.7,320.64,294.32,tf
287,TSHE,62.9,322.06,290.8,tf
288,TSHE,21.3,321.28,296.54,tf
290,TSHE,34.5,338.99,275.54,tf
291,THPL,51,332.96,278.91,cl
292,THPL,183.5,329.89,280.67,cl
293,TSHE,23.1,331.47,281.07,tf
295,TSHE,33.9,325.05,288.96,tf
297,TSHE,34.4,338.91,282.93,tf
298,TSHE,16.8,326.03,291.52,tf
300,PSME,113.8,336.86,286.38,pm
301,TSHE,37,339.9,285.1,tf
302,TSHE,10,326.5,298.72,tf
307,TSHE,12,342.59,289.61,tf
308,THPL,129,344.52,289.21,cl
310,TSHE,9,346.69,295.04,tf
311,TSHE,31.6,348.74,285.44,tf
312,TSHE,14.2,348.83,290.51,tf
313,PSME,121.6,361.89,275.98,pm
314,TSHE,12.7,366.28,275.68,tf
315,TSHE,14.3,367.5,277.72,tf
316,TABR,13.7,353.09,279.19,tf
317,PSME,148.8,354.34,281.92,pm
318,THPL,46.9,358.96,281.02,cl
319,TSHE,29.8,351.29,288.51,tf
320,TSHE,36.6,350.04,291.52,tf
322,TSHE,14.7,355.86,287.6,tf
324,TSHE,11,361.47,284.66,tf
326,TSHE,38.9,362.39,285.95,tf
327,THPL,76.5,352.16,297.28,cl
328,THPL,132.1,352.95,298.02,cl
330,THPL,59.9,368.77,284.33,cl
331,TSHE,76.5,362.99,295.09,tf
332,TSHE,14.1,363.24,296.28,tf
333,TSHE,36.9,365.75,295.36,tf
334,THPL,11,371.6,291.04,cl
335,TSHE,67.1,384.64,274.69,tf
336,TSHE,35.8,381.67,275.05,tf
337,TSHE,74.4,389.52,276.73,tf
338,TSHE,33.5,378.2,279.16,tf
339,THPL,123.7,383.38,278.48,cl
340,TSHE,23.2,391.48,277.74,tf
341,THPL,160.4,396.81,275.99,cl
342,TSHE,54.8,382.91,281.98,tf
344,TSHE,22.2,385.51,285.48,tf
345,TSHE,10.6,375.8,293.7,tf
346,TSHE,16.3,391.19,281.91,tf
347,TSHE,26.4,390.66,282.24,tf
348,TSHE,77.5,388.19,285.4,tf
349,TSHE,26.9,380.06,293.49,tf
350,THPL,182.1,384.66,296.89,cl
351,PSME,180.5,388.45,291.68,pm
352,THPL,120.9,392.08,291.47,cl
353,THPL,155,395.25,285.86,cl
354,TSHE,19,395.19,292.23,tf
355,PSME,142.5,398.73,284.91,pm
356,TSHE,54.3,397.31,298.88,tf
